miembro_cedula,fecha_pago,monto
V-11111111,2026-02-15,30.0
V-22222222,2025-10-15,30.0
V-33333333,2026-02-20,50.0
V-10000004,2026-02-11,30.0
V-10000005,2025-11-01,30.0
V-10000006,2026-01-20,30.0
V-10000007,2026-01-12,30.0
V-10000008,2025-12-09,30.0
V-10000008,2025-11-09,30.0
V-10000008,2025-10-10,30.0
V-10000009,2025-10-24,30.0
V-10000009,2025-09-24,30.0
V-10000009,2025-08-25,30.0
V-10000010,2026-01-18,30.0
V-10000011,2026-01-09,30.0
V-10000011,2025-12-10,30.0
V-10000012,2025-12-04,30.0
V-10000013,2026-01-21,30.0
V-10000013,2025-12-22,30.0
V-10000014,2026-01-04,30.0
V-10000014,2025-12-05,30.0
V-10000014,2025-11-05,30.0
V-10000015,2026-01-05,30.0
V-10000015,2025-12-06,30.0
V-10000015,2025-11-06,30.0
V-10000015,2025-10-07,30.0
V-10000016,2025-12-18,30.0
V-10000016,2025-11-18,30.0
V-10000016,2025-10-19,30.0
V-10000017,2026-02-07,30.0
V-10000017,2026-01-08,30.0
V-10000017,2025-12-09,30.0
V-10000017,2025-11-09,30.0
V-10000018,2026-01-01,30.0
V-10000019,2025-12-16,30.0
V-10000020,2025-10-06,30.0
V-10000020,2025-09-06,30.0
V-10000021,2025-12-22,30.0
V-10000022,2026-02-04,30.0
V-10000023,2025-10-15,30.0
V-10000023,2025-09-15,30.0
V-10000023,2025-08-16,30.0
V-10000024,2026-02-14,30.0
V-10000024,2026-01-15,30.0
V-10000024,2025-12-16,30.0
V-10000024,2025-11-16,30.0
V-10000025,2025-12-16,30.0
V-10000025,2025-11-16,30.0
V-10000026,2026-01-30,30.0
V-10000026,2025-12-31,30.0
V-10000026,2025-12-01,30.0
V-10000027,2026-01-24,30.0
V-10000027,2025-12-25,30.0
V-10000028,2025-12-11,30.0
V-10000028,2025-11-11,30.0
V-10000029,2025-11-26,30.0
V-10000029,2025-10-27,30.0
V-10000029,2025-09-27,30.0
V-10000030,2026-01-28,30.0
V-10000030,2025-12-29,30.0
V-10000031,2026-01-03,30.0
V-10000031,2025-12-04,30.0
V-10000032,2025-12-27,30.0
V-10000033,2026-02-11,30.0
V-10000033,2026-01-12,30.0
V-10000034,2026-01-20,30.0
V-10000034,2025-12-21,30.0
V-10000034,2025-11-21,30.0
V-10000034,2025-10-22,30.0
V-10000035,2025-09-08,30.0
V-10000036,2026-01-28,30.0
V-10000036,2025-12-29,30.0
V-10000036,2025-11-29,30.0
V-10000036,2025-10-30,30.0
V-10000037,2026-01-22,30.0
V-10000037,2025-12-23,30.0
V-10000037,2025-11-23,30.0
V-10000037,2025-10-24,30.0
V-10000038,2026-01-28,30.0
V-10000039,2025-09-17,30.0
V-10000039,2025-08-18,30.0
V-10000039,2025-07-19,30.0
V-10000039,2025-06-19,30.0
V-10000040,2026-02-14,30.0
V-10000040,2026-01-15,30.0
V-10000041,2025-12-14,30.0
V-10000041,2025-11-14,30.0
V-10000042,2025-09-07,30.0
V-10000042,2025-08-08,30.0
V-10000042,2025-07-09,30.0
V-10000043,2026-02-08,30.0
V-10000043,2026-01-09,30.0
V-10000043,2025-12-10,30.0
V-10000044,2025-12-14,30.0
V-10000045,2026-01-11,30.0
V-10000046,2025-12-17,30.0
V-10000046,2025-11-17,30.0
V-10000046,2025-10-18,30.0
V-10000047,2025-12-02,30.0
V-10000048,2026-02-05,30.0
V-10000048,2026-01-06,30.0
V-10000048,2025-12-07,30.0
V-10000049,2025-12-05,30.0
V-10000049,2025-11-05,30.0
V-10000049,2025-10-06,30.0
V-10000050,2025-10-07,30.0
V-10000050,2025-09-07,30.0
V-10000050,2025-08-08,30.0
V-10000051,2026-01-22,30.0
V-10000051,2025-12-23,30.0
V-10000052,2025-11-21,30.0
V-10000052,2025-10-22,30.0
V-10000053,2025-12-31,30.0
V-10000053,2025-12-01,30.0
V-10000054,2026-01-29,30.0
V-10000054,2025-12-30,30.0
V-10000055,2026-01-25,30.0
V-10000055,2025-12-26,30.0
V-10000056,2026-01-13,30.0
